Kallstroemia grandiflora,Arizona poppy,N,"12-36""",A,Orange-Red,Summer,100000,Spring/Fall,10,6-8,Summer annual after rain. Prefers low moist areas.,Full Sun,,,,,
Balsamorhiza sagittata,Arrowleaf balsamroot,N,"8-32""",P,Yellow,Spr-Sum,58000,Spring/Fall,12,6-8,Open areas on hillsides/grasslands/forests,Full Sun,,,,,
Lupinus succulentus,Arroyo lupine,N,"24-36""",A,Blue,Spring,15000,Anytime,12,18,Dry open areas on foothills & canyons,Full Sun,,,,,
Erigeron speciosus,Aspen daisy,N,"12-36""",P,Lavender,Sum-Fall,1800000,Fall/Winter,16,1,Moist forest & streambanks at mid-elevation,Sun or Partial,,,,,
Nemophila menziesii,Baby Blue Eyes,N,"4-12""",A,blue,Spring,240000,Winter/Spring,12,4-6,Grow on a variety of soils & easy to establish,Sun or Partial,,,,,
Centaurea cyanus spp.,Bachelor buttons,I,"16-24""",A,Blue,Summer,90000,Spring,12,4,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Aurinia saxatilis,Basket of gold,I,"4-12""",P,Yellow,Spring,460000,Spring/Fall,14,4-6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Oenothera macrocarpa,Big fruit evening primrose,N,"6-8""",P,Yellow,Summer,92000,Fall/Winter,12,6-8,Rocky slopes and hillsides throughout western U.S.,Full Sun,,,,,
Gilia tricolor,Birds eyes,N,"12-24""",A,Blue,Spr-Sum,1000000,Spring/Fall,14,1,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Rudbeckia hirta,Black-eyed susan,N,"24-48""",P,Yellow,Summer,1650000,Winter/Spring,12,1,Most soils throughout North America,Full Sun,,,,,
Gaillardia aristata,Blanket flower,N,"12-24""",P,Yellow-Red,Sum-Fall,186000,Spr/Fall/Win,10,6,Ideal for erosion control on most soils,Sun or Partial,,,,,
Mentzelia lindleyi,Blazing star,N,"12-40""",A,Yellow,Spr-Sum,586000,Spring/Fall,12,4,Dry open areas on foothills & canyons,Full Sun,,,,,
Dicentra formosa,Bleeding heart,N,"6-18""",P,Purple,Spr-Sum,450000,Spring/Fall,55,4-6,Moist forest & streambanks at mid-elevation,Sun or Partial,,,,,
Aquilegia coerulea,Blue columbine,N,"10-30""",P,Blue & White,Spr-Sum,400000,Spring/Fall,16,4-6,Mtn. common in aspen groves,Partial Shade,,,,,
Salvia farinacea,Blue sage,N,"12-24""",P,Blue,Summer,370000,Spring/Fall,14,6-8,Dry sites in the Pacific Northwest,Full Sun,,,,,
Sisyrinchium bellum,Blue-eyed grass,N,"36-40""",P,Blue,Spring,325000,Fall/Winter,14,6-8,Pacific coastal meadows to inland grasssy areas,Full Sun,,,,,
Lupinus latifolius,Broadleaf lupine,N,"12-24""",P,Blue,Spring,34600,Fall/Winter,10,10,Found throughout western North America,Full Sun,,,,,
Cornus canadensis,Bunchberry dogwood,N,"2-8""",P,White,Spr-Sum,60000,Spring/Fall,16,6-8,Moist areas throughout the Northwest,Sun or Partial,,,,,
Asclepias tuberosa,Butterfly milkweed,N,"12-24""",P,Orange,Spr-Sum,70000,Spring/Fall,24,6-8,"Open forests, river banks, close to springs",Full Sun,,,,,
Calendula officinalis,Calendula or Port marigold,I,"12-24""",A,Yellow & Orange,Spr-Fall,70000,Spring,16,6-10,"Used in wildflower mixes, rock gardens, etc.",Full Sun,,,,,
Eschscholzia californica,California poppy,N,"8-24""",A,Orange,Spr-Sum,260000,Spring/Fall,12,4,Used in wildflower mixes & reclamation,Full Sun,,,,,
Camassia quamash,Camas,N,"8-24""",P,Blue,Spr-Fall,130000,Spring,16,8,Grassy slopes and meadows,Full Sun,,,,,
Iberis umbellata,Candytuft,I,"12-18""",A,White-Violet,Summer,19500,Spring/Fall,14,6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Lobularia maritima,Carpet of snow or Sweet alyssum,I,"4-12""",A,White,Spr-Fall,1100000,Spring/Fall,12,4-5,Open fields and along roadsides,Full Sun,,,,,
Silene armeria,Catchfly,I,"36-40""",A,Pink,Sum-Fall,4000000,0.5,14,0.5,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Cynoglossum amabile,Chinese Forget-me-not,I,"18-24""",B,Blue,Spr-Sum,85000,Spring/Fall,14,6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Collinsia heterophylla,Chinese houses,I,"12-24""",A,White-Lavender,Spr-Sum,400000,Spring/Fall,14,6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Dracopis amplexicaulis,Clasping coneflower,N,"18-28""",P,Yellow,Sum-Fall,800000,Spr/Fall/Win,12,4-6,Most soils throughout North America,Full Sun,,,,,
Aquilegia coerulea James,Colorado blue columbine,N,"24""",P,Blue,Spr-Sum,399600,Spring/Fall,12,6,"Throughout the rockies, very good in mixed",Partial Shade,,,,,
Lilium columbianum,Columbia lily,N,"12-24""",P,Yellow-Red,Spring,,Fall/Winter,30+,,Moist forest & streambanks at mid-elevation in the northwest,,,,,,
Papaver rhoeas,Corn poppy (shirley),I,"18-24""",A,Red,Spr-Sum,3400000,Spr/Fall/Win,14,0.5,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Hesperis matronalis,Dame's rocket,I,"12-40""",P,Purple,Spr-Sum,224000,Spring/Fall,16,6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Perityle emory,Desert daisy,N,"6-12""",A,White,Spring,3200000,Fall/Winter,10,0.5,Rocky sites in the southern portion of CA & AZ,Full Sun,,,,,
Sphaeralcea ambigua,Desert globemallow,N,"24-40""",P,Orange-Red,Spring,510000,Anytime,10,6-8,Rocky sites in the southern portion of CA & AZ,Full Sun,,,,,
Lupinus arizonicus,Desert lupine,N,"6-24""",A,Purple,Spring,130000,Fall/Winter,6,6,Hot desert environments,Full Sun,,,,,
Lupinus sparsiflorus,Desert lupine,N,"6-18""",A,Violet,Spring,120000,Fall/Winter,12,4-6,Hot desert environments,Full Sun,,,,,
Baileya multiradiata,Desert marigold,N,"12-30""",P,Yellow,Spr-Fall,1000000,Fall & Winter,10,1,Disturbed areas in the Southwest deserts,Full Sun,,,,,
Glandularia gooddingii,Desert verbena,N,"18-30""",P,Pink-Violet,Spring,500000,Fall/Winter,10,4-6,Prefers sand/gravel sites in Northern AZ & NM,Full Sun,,,,,
Phacelia campanularia,Desertbells,N,"12-30""",A,Blue,Spring,259000,Spring/Fall,12,6-8,"Used in wildflower mixes, rock gardens, etc.",Full Sun,,,,,
Phlox drummondii,Drummond phlox,N,"10-24""",A,White-Red,Fall-Sum,261000,Spr/Fall/Win,12,6-8,Most soils throughout North America,Full Sun,,,,,
Aquilegia vulgaris,Dwarf columbine,I,"12-30""",P,Varied,Spr-Sum,300000,Spring/Fall,16,4-6,"Open forests, river banks, close to springs",Partial Shade,,,,,
Cosmos bipinnatus,Dwarf cosmos,I,"12-24""",A,Pink,Sum-Fall,89000,Spring/Fall,12,15,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Helianthus annuus,Dwarf or Annual sunflower,N,48+,A,Yellow,Summer,50000,Spring/Fall,10,10,Grows well on disturbed soils,Full Sun,,,,,
Angustifolia chromosa,Early Indian paintbrush,N,"6-36""",P,Red,Spr-Sum,5000000,Spring/Fall,12,1,"Open rocky slopes, woods, streams & meadows",Sun or Partial,,,,,
Aquilegia canadensis,Eastern red columbine,N,"10-30""",P,Red & Yellow,Spr-Sum,500000,Spring/Fall,16,4-6,"Open forests, river banks, close to springs",Partial Shade,,,,,
Prosartes lanuginosa,Fairy bells,N,"12-24""",P,Yellow,Spring,,Spring/Fall,,40,"Moist coniferous, low-land forest in the Pacific Northwest",Shade,,,,,
Calypso bulbosa,Fairy slipper,N,"2-10""",P,Lavender,Spring,,Fall,24,,"Deep shade in cool, moist forest at mid-elevations",Shade,,,,,
Clarkia amoena,Farewell to spring,N,"6-30""",A,Pink,Spr-Sum,1800000,Spring/Fall,16,1-2,Grassy slopes and meadows,Sun or Partial,,,,,
Penstemon eatonii,Firecracker Penstomen,N,"24-32""",P,Red,Spr-Sum,595000,Fall/Winter,12,2,Rocky slopes and hillsides throughout western U.S.,Full Sun,,,,,
Chamerion angustifolium,Fireweed,N,"24-60""",P,Purple,Late Sum,6500000,Fall/Winter,8,0.5,Moist forest & streambanks at mid-elevation,Sun or Partial,,,,,
Gaillardia pulchella,Firewheel,N,"12-24""",A,Yellow-Red,Summer,220000,Anytime,10,4,Ideal for erosion control on most soils,Sun or Partial,,,,,
Nemophila maculata,Fivespot,N,"4-12""",A,White-Purple,Spring,86000,Winter/Spring,12,6-8,Moist prairies & meadows,Sun or Partial,,,,,
Thermopsis divaricarpa,Foothills golden banner,N,"12-24""",P,Yellow,Spr-Sum,30000,Fall/Winter,14,12-15,"Wooded areas from 4,000-7,000 ft. elevation",Sun or Partial,,,,,
Myosotis sylvatica,Forget-me-not,N,"10-16""",B,Blue,Summer,730000,Spr/Fall/Win,16,2-3,Moist prairies & meadows,Sun or Partial,,,,,
Digitalis purpurea,Foxglove,I,"24-48""",B,Pink,Summer,4750000,Spring/Fall,16,1,"Used in wildflower mixes, rock gardens, etc.",Full Sun,,,,,
Liatris spicata,Gayfeather,N,"24-40""",P,Purple,Sum-Fall,140000,Spring/Fall,14,6,Moist prairies & meadows,Full Sun,,,,,
Gilia capitata,Globe gilia,N,"12-24""",A,Blue,Summer,1000000,Summer,14,1,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Thermopsis montana,Golden banner,N,"12-36""",P,Blue-Violet,Sum-Fall,15000,Spring/Fall,16,20,Moist prairies & meadows in wildflower mixes,Sun or Partial,,,,,
Solidago rigida,Goldenrod,N,"36-40""",P,Yellow,Late Sum,1009000,Fall/Winter,14,1-2,From the Rockies to the East Coast on grassy areas,Full Sun,,,,,
Sphaeralcea grossulariifolia,Gooseberry globemallow,N,"24-36""",P,Orange-Red,Spr-Sum,510000,Fall/Winter,12,6-8,Dry open areas in foothills & canyons,Full Sun,,,,,
Eurybia glauca,Gray aster,N,"18-36""",P,White,Fall,550000,Fall/Winter,14,4,Intermountain lowlands to subalpine,Partial Shade,,,,,
Ratibida pinnata,Gray headed coneflower,N,"12-48""",P,Yellow,Sum-Fall,445000,Fall/Winter,12,6-8,Common in central U.S. on praiies and dry sites,Full Sun,,,,,
Penstemon subglaber,Great basin penstemon,N,"12-28""",P,Purple,Summer,410000,Fall/Winter,14,4,Rocky slopes and hillsides throughout the Great Basin region,Full Sun,,,,,
Vicia villosa,Hairy vetch,I,"6-18""",A/P,Purple,Spring,20000,Spring/Fall,18,40,Used in wildflower mixes & pasture mixes,Sun or Partial,,,,,
Papaver nudicaule,Iceland poppy,I,"18-24""",P,Yellow-Orange,Spring,3630000,Winter/Spring,14,0.5,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Desmanthus illinoensis,Illinois bundleflower,I,"24-36""",P,White,Summer,120000,Fall/Winter,14,8,Desireable for big game & birds in midwest,Sun or Partial,,,,,
Castilleja spp.,Indian Paintbrush,N,"8-24""",P,Scarlet,Sum-Fall,4000000,Spring/Fall,12,1,Dry open areas on foothills,Full Sun,,,,,
Viola cornuta,Johny jump up,I,"6-12""",P,Purple/Blue/Yellow,Spr-Sum,400000,Spring/Fall,14,4-6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Phacelia tanacetifolia,Lacy phacelia,N,"12-40""",A,Blue,Summer,163000,Fall/Winter,10,6,Ideal for quick establishment on moist soils,Full Sun,,,,,
Coreopsis lanceolata,Lance-leaved coreopsis,N,"12-36""",P,Yellow,Summer,210000,Spr/Fall/Win,14,8-10,Reclamation mixes on sandy to rocky soils,Sun or Partial,,,,,
Bellis perennis,Lawn daisy,I,"6""",P,Rose,Spr-Fall,2800000,Spring/Fall,12,1,Open fields and along roadsides,Partial Shade,,,,,
Monarda citriodora,Lemon mint,N,"12-36""",A,White-Purple,Spr-Sum,800000,Spring/Fall,12,2,Grows on a variety of soils & easy to establish,Full Sun,,,,,
Linum lewisii,"Lewis blue flax, Maple Grove",N,"6-32""",P,Blue,Spr-Fall,295000,Spr/Fall/Win,10,6,Reclamation mixes on sandy to rocky soils,Full Sun,,,,,
Penstemon fruticosus,Low bush penstemon,N,"12-24""",P,Blue,Spring,400000,Spring/Fall,12,2,Rocky slopes and hillsides throughout western U.S.,Full Sun,,,,,
Lychnis chalcedonica,Maltese cross,N,"24-36""",P,Red,Summer,1120000,Fall/Winter,16,1,Dry open areas on foothills & canyons,Full Sun,,,,,
Helianthus maximiliani,Maximillian sunflower,N,"36+""",P,Yellow,Summer,225000,Spring/Fall,14,6,Grows well on disturbed soils,Full Sun,,,,,
Ratibida columnifera forma pulcherrima,Mexican hat,N,"12-36""",P,Red,Summer,1032000,Spr/Fall/Win,16,2,Most soils throughout North America,Full Sun,,,,,
Lupinus bicolor,Miniature lupine,N,"4-16""",A,Blue-White,Summer,72250,Spr/Fall/Win,12,6-8,"Grassy areas from the coast to 5,000 ft,",Full Sun,,,,,
Mimulus,Monkey flower,I,"12-18""",A,Yellow-Red,Spr-Sum,9000000,Spring/Fall,16,0.25,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Glandularia tenuisecta,Moss verbena,N,"12-36""",P,Blue-Violet,Spr-Sum,1200000,Spring/Fall,12,1-2,"Good ground cover found in southern CA, AZ & NM",Full Sun,,,,,
Lupinus argenteus ssp. Rubricaulis,Mountain lupine,N,"12-24""",P,Blue-Lavender,Sum-Fall,13000,Fall/Winter,16,10-15,Sub-alpine meadows on moist soils,Sun or Partial,,,,,
Sphaeralcea munroana,Munro globemallow,N,"24-36""",P,Orange-Red,Spring,515000,Fall/Winter,12,6-8,Dry open areas in foothills & canyons,Full Sun,,,,,
Sphaeralcea parvifolia,Nelson globemallow,N,"18-36""",P,Red-Orange,Spring,515000,Fall/Winter,12,6-8,Prefers sand/gravel sites in Northern AZ & NM,Full Sun,,,,,
Symphyotrichum novae-angliae,New England aster,N,"24-60""",P,Pink-Purple,Fall,1330000,Fall/Winter,16,1,"Along streams, wet meadows & swamps",Partial Shade,,,,,
Hedysarum boreale,Northern sweetvetch,N,"12-24""",P,Pink-Purple,Spring,35000,Fall/Winter,14,15,"Grows on variety of soils, good forage",Sun or Partial,,,,,
Calochortus nuttallii,Nuttalls sego lily,N,"6-18""",P,White,Spr-Sum,,Fall,12,,Dry soils in sagebrush plains and open forests,Full Sun,,,,,
Anemone oregana,Oregon windflower,N,"4-12""",P,White,Spr-Sum,,Spring/Fall,20,,Moist forest & streambanks at mid-elevaton in the N.W,Partial Shade,,,,,
leucanthemum vulgare,Oxeye daisy,I,"12-24""",P,White,Spr-Sum,200000,Spring/Fall,14,6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Symphyotrichum chilensis,Pacific aster,N,"12-36""",P,Lavender,Fall,2650000,Spr/Fall/Win,12,1,"meadows, open slopes near the ocean",Partial Shade,,,,,
Oenothera pallida,Pale evening primrose,N,"8-20""",A,White,Spring,500000,Fall/Winter,12,4,Moist prairies & meadows,Sun or Partial,,,,,
Echinacea pallida,Pale purple coneflower,N,"12-18""",P,White,Spr-Sum,106000,Spring/Fall,14,6,Grassy slopes or open prairies,Full Sun,,,,,
Penstemon palmeri,Palmer pentemon,N,12-24',P,Pink,Spr-Sum,611000,Spring/Fall,10,2-4,Rocky slopes and hillsides throughout western U.S.,Full Sun,,,,,
Viguiera deltoidea,Parish goldeneye,N,"12-30""",P,Yellow,Summer,6500000,Spring/Fall,12,4-6,Dry open areas in foothills & canyons,Full Sun,,,,,
Anaphalis margaritacea,Pearly Everlasting,N,"8-40""",P,White,Sum-Fall,8200000,Spring/Fall,20,0.5,Forest openings from lowlands to mtn.,Full Sun,,,,,
Lupinus Perennis,Perennial wild lupine,N,"12-36""",P,Purple-Blue,Spr-Sum,21500,Fall/Winter,12,12,Moist soils throughout North America,Full Sun,,,,,
Oenothera speciosa,Pinkladies,N,"12-12""",A,Pink-White,Spr-Sum,3040000,Spr/Fall/Win,10,0.5,Moist prairies & meadows,Sun or Partial,,,,,
Coreopsis tinctoria,Plains coreopsis,N,"24-40""",A,Yellow & Maroon,Sum-Fall,1650000,Winter/Spring,12,2,Meadows and open fields,Sun or Partial,,,,,
Machaeranthera tanacetifolia,Prairie aster,N,"4-16""",A,Purple,Summer,494000,Winter/Spring,12,4-6,Rocky hillsides throughout the Great Basin,Full Sun,,,,,
Echinacea purpurea,Purple coneflower,N,"24-48""",P,Purple,Spring,157000,Spr/Fall/Win,12,6,Grassy slopes or open prairies,Full Sun,,,,,
Coronilla varia,Purple crownvetch,I,"24-36""",P,Purple,Spr-Sum,138000,Spring/Fall,24,15-20,Ornamental ground cover used on roadsides,Full Sun,,,,,
Dalea purpurea var. purpurea,Purple prairie clover,N,"12-24""",P,Purple,Spr-Sum,200000,Spring/Fall,14,6-8,Dry sites from Montana through Texas,Full Sun,,,,,
Verbena stricta,Purple verbena,N,"24-40""",P,Purple,Purple,430000,Spring/Fall,12,4-6,Dry open areas in foothills & canyons,Full Sun,,,,,
Oxalis oregana,Redwood Sorrel,N,"2-8""",P,White,Spring,,Spring/Fall,,30,Moist prairies & meadows in WA & OR,Sun or Partial,,,,,
Consolida ajacis,Rocket Larkspur,I,"12-42""",A,White-Violet,Spr-Sum,290030,Winter/Spring,14,4,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Cleome serrulata,Rocky Mountain beeplant,N,"12-40""",A,Purple,Sum-Fall,65000,Spring/Fall,16,10,"Disturbed areas, plains and in the western foothills",Full Sun,,,,,
Iris missouriensis,Rocky Mountain iris,N,"12-24""",P,Blue,Spring,20000,Fall/Winter,16,16,Ideal for native wildflower mixes on most soils,Sun or Partial,,,,,
Penstemon strictus,Rocky Mountain penstemon,N,"10-36""",P,Blue,Summer,595000,Fall/Winter,14,4,Rocky slopes and hillsides throughout western U.S.,Full Sun,,,,,
Lupinus polyphyllus,Russel lupine,N,"12-60""",P,Blue-Violet,Spr-Sum,22500,Fall/Winter,16,8,Found throughout western North America,Full Sun,,,,,
Penstemon rydbergii,Rydberg's penstemon,N,"6-24""",P,Purple,Summer,848000,Fall/Winter,16,2-4,Dry open areas on foothills & canyons,Full Sun,,,,,
Gaultheria shallon,Salal,N,"24-48""",P,White,Spring,5000000,Spring/Fall,50+,5,Moist forest & streambanks at mid-elevation,Sun or Partial,,,,,
Abronia villosa,Sand verbena,N,"12""",P,Pink-Purple,Summer,40000,Spring/Fall,10,4,"Open, sandy locations in Southwest",Full Sun,,,,,
Linum grandiflorum,Scarlet flax,I,"12-28""",A,Scarlet,Spr-Fall,130000,Spring/Fall,12,6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Ipomopsis aggregata,Scarlet gilia,N,"6-36""",B,Red,Spr-Sum,100000,Spring/Fall,10,1,"Dry, rocky, open sites at fairly high elevations",Sun or Partial,,,,,
Sphaeralcea coccinea,Scarlet globemallow,N,"6-20""",P,Red-Orange,Summer,515000,Fall/Winter,10,6-8,Dry open areas in foothills & canyons,Full Sun,,,,,
Delphinium cardinale,Scarlet Larkspur,I,"24-36""",P,Red-Orange,Summer,315000,Spring/Fall,14,4,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Leucanthemum maximum,Shasta daisy,I,"12-36""",P,White,Spr-Sum,310000,Spring/Fall,16,6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Dodecatheon,Shooting star,N,"12-24""",P,Pink,Spr-Sum,700000,Spring/Fall,16,2-4,Moist well drained areas in the Eastern U.S.,Sun or Partial,,,,,
Heliomeris multiflora,Showy goldeneye,N,"12-48""",P,Yellow,Summer,515000,Fall/Winter,16,4-6,Most soils throughout North America,Sun or Partial,,,,,
Solidago speciosa,Showy goldenrod,N,"36-40""",P,Yellow,Late Sum,1000000,Fall/Winter,10,1-2,Most soils throughout North America,Full Sun,,,,,
Penstemon pseudospectabilis,Showy penstemon,N,"24-40""",P,Pink,Spring,750000,Fall/Winter,10,2-4,Dry open areas on foothills & canyons,Full Sun,,,,,
Erysimum x marshallii,Siberian wallflower,I,"12-24""",A,Orange,Spr-Sum,335000,Winter/Spring,12,2,Well drained or rocky meadows & roadsides,Full Sun,,,,,
Lupinus albicaulis,Sickle-keeled lupine,N,"24-42""",B,Pink-White,Spring,29600,Spr/Fall/Win,16,10,Ideal for quick establishment on moist soils,Full Sun,,,,,
Lupinus sericeus,Silky lupine,N,"12-36""",P,blue,Summer,13000,Fall/Winter,12,24,Found throughout western North America,Sun or Partial,,,,,
Lupinus argenteus,Silver Lupine,N,"12-24""",P,Blue-White,Summer,18500,Fall/Winter,16,10,"Grows best above 5,000 ft. on dry slopes",Full Sun,,,,,
Sanguisorba minor,Small Burnet,I,"12-24""",P,Pink,Summer,60000,Spring/Fall,10,20-24,Most soils thoughout North America,Full Sun,,,,,
Castilleja rhexiifolia,Splitleaf Indian paintbrush,N,"8-30""",P,Violate,Summer,4900000,Spring/Fall,10,1,"Open rocky slopes, woods, streams & meadows",Sun or Partial,,,,,
Linaria maroccana,Spurred snapdragon,I,"12-24""",A,Varied,Spr-Sum,7000000,Spring/Fall,14,0.5,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Geranium viscosissimum,Sticky or Wild geranium,N,"18-48""",P,Pink,Summer,52000,Fall/Winter,14,10,Moist forest & streambanks at mid-elevation,Sun or Partial,,,,,
Iliamna rivularis,Streambank wild hollyhock,N,"24-72""",P,Red,Spring,130000,Spring/Fall,16,6,Moist forest & streambank at mid-elevation in the northwest,Full Sun,,,,,
Eriogonum umbellatum,Sulfur flower,N,"6-16""",P,Yellow,Fall,209500,Fall/Winter,10,4,Mountain meadows-deserts on well drained soils,Sun or Partial,,,,,
Castilleja sulphurea,Sulfur paintbrush,N,"18""",P,Yellow,Sum-Fall,4500000,Spring/Fall,14,1,Mountain meadows and slopes,Full Sun,,,,,
Dianthus barbatus,Sweet william pinks,I,"6-24""",P,Pink,Summer,440000,Spring/Fall,14,2-4,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Lupinus caudatus,Tailcup lupine,N,"12-28""",P,Blue,Spr-Sum,25000,Fall/Winter,16,10-12,"Above 5,000 ft. in the Great Basin region",Full Sun,,,,,
Lupinus texensis,Texas bluebonnet,N,"12-24""",A,Blue-White,Spring,15000,Fall/Winter,14,18,Dry open areas throughout Texas,Full Sun,,,,,
